Key,LanguageCode,TranslatedText
MELBOURNE GIG GUIDE,zh-CN,墨尔本演出指南
MELBOURNE GIG GUIDE,es,GUÍA DE CONCIERTOS DE MELBOURNE
MELBOURNE GIG GUIDE,ja,メルボルン ライブガイド
MELBOURNE GIG GUIDE,ar,دليل حفلات ملبورن
GIGS NEAR YOU,zh-CN,附近的演出
GIGS NEAR YOU,es,CONCIERTOS CERCA DE TI
GIGS NEAR YOU,ja,近くのライブ
GIGS NEAR YOU,ar,الحفلات القريبة منك
HOW TO USE,zh-CN,使用方法
HOW TO USE,es,CÓMO USAR
HOW TO USE,ja,使用方法
HOW TO USE,ar,كيفية الاستخدام
View on mobile to scan QR codes directly from screen,zh-CN,在手机上查看以直接扫描屏幕上的二维码
View on mobile to scan QR codes directly from screen,es,Vea en móvil para escanear códigos QR directamente desde la pantalla
View on mobile to scan QR codes directly from screen,ja,画面から直接QRコードをスキャンするにはモバイルで表示してください
View on mobile to scan QR codes directly from screen,ar,اعرض على الجوال لمسح رموز QR مباشرة من الشاشة
QR codes link to venue locations on Google Maps,zh-CN,二维码链接到Google地图上的场地位置
QR codes link to venue locations on Google Maps,es,Los códigos QR enlazan a ubicaciones de lugares en Google Maps
QR codes link to venue locations on Google Maps,ja,QRコードはGoogle Mapsの会場位置にリンクしています
QR codes link to venue locations on Google Maps,ar,تربط رموز QR بمواقع الأماكن على خرائط Google
Share this guide with friends!,zh-CN,与朋友分享此指南！
Share this guide with friends!,es,¡Comparte esta guía con amigos!
Share this guide with friends!,ja,この案内を友達と共有しよう！
Share this guide with friends!,ar,شارك هذا الدليل مع الأصدقاء!
This information was sent to,zh-CN,此信息已发送至
This information was sent to,es,Esta información fue enviada a
This information was sent to,ja,この情報は次の相手に送信されました
This information was sent to,ar,تم إرسال هذه المعلومات إلى
Melbourne Gig Guide - Supporting local music and venues.,zh-CN,墨尔本演出指南 - 支持本地音乐和场馆。
Melbourne Gig Guide - Supporting local music and venues.,es,Guía de Conciertos de Melbourne - Apoyando música y lugares locales.
Melbourne Gig Guide - Supporting local music and venues.,ja,メルボルン ライブガイド - 地元の音楽とベニューをサポート。
Melbourne Gig Guide - Supporting local music and venues.,ar,دليل حفلات ملبورن - دعم الموسيقى والأماكن المحلية.
Venue,zh-CN,场地
Venue,es,Lugar
Venue,ja,会場
Venue,ar,مكان الحفل
Address,zh-CN,地址
Address,es,Dirección
Address,ja,住所
Address,ar,العنوان
Time/Price,zh-CN,时间/价格
Time/Price,es,Hora/Precio
Time/Price,ja,時間/料金
Time/Price,ar,الوقت/السعر
Genres,zh-CN,音乐类型
Genres,es,Géneros
Genres,ja,ジャンル
Genres,ar,الأنواع
View on Map,zh-CN,在地图上查看
View on Map,es,Ver en el mapa
View on Map,ja,地図で見る
View on Map,ar,عرض على الخريطة
Check venue,zh-CN,查看场地
Check venue,es,Consultar lugar
Check venue,ja,会場を確認
Check venue,ar,تحقق من المكان
Free,zh-CN,免费
Free,es,Gratis
Free,ja,無料
Free,ar,مجاني
TBA,zh-CN,待定
TBA,es,A anunciar
TBA,ja,発表予定
TBA,ar,سيتم الإعلان
km away,zh-CN,公里远
km away,es,km de distancia
km away,ja,km離れた
km away,ar,كم بعيد
Melbourne's vibrant live music scene offers everything from intimate jazz clubs to stadium rock concerts. With over 460 live music venues, it's one of the world's leading music cities.,zh-CN,墨尔本充满活力的现场音乐场景提供从私密爵士俱乐部到体育场摇滚音乐会的各种体验。拥有460多个现场音乐场地，它是世界领先的音乐城市之一。
Melbourne's vibrant live music scene offers everything from intimate jazz clubs to stadium rock concerts. With over 460 live music venues, it's one of the world's leading music cities.,es,La vibrante escena musical en vivo de Melbourne ofrece todo, desde íntimos clubes de jazz hasta conciertos de rock en estadios. Con más de 460 locales de música en vivo, es una de las principales ciudades musicales del mundo.
Melbourne's vibrant live music scene offers everything from intimate jazz clubs to stadium rock concerts. With over 460 live music venues, it's one of the world's leading music cities.,ja,メルボルンの活気あるライブミュージックシーンは、親密なジャズクラブからスタジアムロックコンサートまで、あらゆるものを提供しています。460を超えるライブミュージック会場を持ち、世界有数の音楽都市の一つです。
Melbourne's vibrant live music scene offers everything from intimate jazz clubs to stadium rock concerts. With over 460 live music venues, it's one of the world's leading music cities.,ar,توفر ساحة الموسيقى الحية النابضة بالحياة في ملبورن كل شيء من نوادي الجاز الحميمة إلى حفلات الروك في الملاعب. مع أكثر من 460 مكانًا للموسيقى الحية، إنها واحدة من المدن الموسيقية الرائدة في العالم.
Melbourne has a thriving live music culture, with venues ranging from historic pubs to modern performance spaces. The city hosts more live music venues per capita than any other city in the world.,zh-CN,墨尔本拥有蓬勃发展的现场音乐文化，场地从历史悠久的酒吧到现代表演空间应有尽有。该城市拥有世界上人均最多的现场音乐场所。
Melbourne has a thriving live music culture, with venues ranging from historic pubs to modern performance spaces. The city hosts more live music venues per capita than any other city in the world.,es,Melbourne tiene una próspera cultura musical en vivo, con locales que van desde pubs históricos hasta espacios de actuación modernos. La ciudad alberga más locales de música en vivo per cápita que cualquier otra ciudad del mundo.
Melbourne has a thriving live music culture, with venues ranging from historic pubs to modern performance spaces. The city hosts more live music venues per capita than any other city in the world.,ja,メルボルンは、歴史的なパブから現代的なパフォーマンススペースまで、さまざまな会場を備えた、活気あるライブミュージックカルチャーを持っています。この都市は、世界のどの都市よりも一人当たりのライブミュージック会場が多いです。
Melbourne has a thriving live music culture, with venues ranging from historic pubs to modern performance spaces. The city hosts more live music venues per capita than any other city in the world.,ar,تتمتع ملبورن بثقافة موسيقية حية مزدهرة، مع أماكن تتراوح من الحانات التاريخية إلى مساحات الأداء الحديثة. تستضيف المدينة أماكن موسيقية حية أكثر من أي مدينة أخرى في العالم بالنسبة لعدد السكان.
Known as Australia's music capital, Melbourne's live scene spans genres from indie rock and electronic to jazz and classical. The city's diverse venues create a unique cultural tapestry for music lovers.,zh-CN,墨尔本作为澳大利亚的音乐之都，其现场音乐场景涵盖从独立摇滚和电子音乐到爵士乐和古典音乐的各种类型。这座城市的多元化场地为音乐爱好者创造了独特的文化织锦。
Known as Australia's music capital, Melbourne's live scene spans genres from indie rock and electronic to jazz and classical. The city's diverse venues create a unique cultural tapestry for music lovers.,es,Conocida como la capital musical de Australia, la escena en vivo de Melbourne abarca géneros que van desde el rock indie y la electrónica hasta el jazz y la música clásica. Los diversos locales de la ciudad crean un tapiz cultural único para los amantes de la música.
Known as Australia's music capital, Melbourne's live scene spans genres from indie rock and electronic to jazz and classical. The city's diverse venues create a unique cultural tapestry for music lovers.,ja,オーストラリアの音楽の首都として知られるメルボルンのライブシーンは、インディーロックやエレクトロニックからジャズやクラシックまで、ジャンルにまたがっています。都市の多様な会場は、音楽愛好家にとって独特の文化的なタペストリーを作り出しています。
